platform,model,type,task_completion_rate,task_success_rate,total_execution_time,mean_execution_time,std_execution_time,mean_process_steps,std_process_steps,total_tasks,DB_UPDATE_TOOL_NOT_INITIALIZED,SUCCESS,DB_UPDATE_TOOL_ARGS_MISMATCH,DB_QUERY_TOOL_NOT_INITIALIZED,DB_QUERY_TOOL_ARGS_MISMATCH,DB_UPDATE_TOOL_ERROR,OCR_TOOL_RESULT_MISMATCH,OCR_TOOL_ARGS_MISMATCH,mean_ocr_bert_f1,std_ocr_bert_f1,OCR_TOOL_NOT_INITIALIZED,OCR_TOOL_ERROR
RTX 4090,qwen2.5:3b,non-vision,1,0.1787878787878788,12192.020536,12.31517225858586,12.454241059486172,21.815151515151516,14.87001899260786,990,759.0,177,20.0,20.0,11.0,3.0,,,,,,
RTX 4090,qwen2.5:7b,non-vision,1,0.7363636363636363,15748.012616,15.90708345050505,13.804096680576636,20.806060606060605,19.888383275642873,990,7.0,729,,253.0,1.0,,,,,,,
RTX 4090,qwen2.5:14b,non-vision,1,0.987878787878788,10111.990844,10.214132165656563,3.5092819973649516,8.136363636363637,2.171278392450786,990,3.0,978,,8.0,1.0,,,,,,,
RTX A6000,qwen2.5:3b,non-vision,1,0.207070707070707,9702.999226,9.80100931919192,17.872860647519417,24.49191919191919,17.06857149308327,990,756.0,205,5.0,7.0,17.0,,,,,,,
RTX A6000,qwen2.5:7b,non-vision,1,0.7242424242424242,10537.908019,10.644351534343436,8.856627034515238,22.895959595959596,21.59088027524687,990,7.0,717,1.0,264.0,,1.0,,,,,,
RTX A6000,functionary-small,non-vision,1,0.0707070707070707,3532.052421,3.567729718181818,29.39895533788155,5.115151515151515,2.947959951201079,990,108.0,70,2.0,806.0,4.0,,,,,,,
RTX A6000,qwen2.5:14b,non-vision,1,0.985858585858586,6702.739619,6.77044405959596,2.257129855780511,8.139393939393939,1.7786407246731308,990,4.0,976,1.0,8.0,1.0,,,,,,,
RTX A6000,qwen2.5:32b,non-vision,1,1.0,13293.342452,13.42761863838384,1.394132930849251,8.0,0.0,990,,990,,,,,,,,,,
RTX A6000,functionary-medium,non-vision,1,0.6656565656565656,32339.211447,32.66587014848485,282.3186401500066,8.062626262626262,2.506234324055713,990,131.0,659,1.0,187.0,12.0,,,,,,,
RTX A6000,qwen2.5:72b,non-vision,1,0.9424242424242424,45635.47603800001,46.09644044242425,29.65929039321062,7.756565656565656,1.7341896885481871,990,,933,,57.0,,,,,,,,
M3 Max,qwen2.5:3b,non-vision,1,0.203030303030303,35667.873431,36.02815498080808,107.67676544207222,19.975757575757576,14.00012343517079,990,763.0,201,9.0,9.0,8.0,,,,,,,
M3 Max,qwen2.5:7b,non-vision,1,0.702020202020202,72168.949177,72.89792846161616,84.85054912964195,21.495959595959597,20.760112933642176,990,5.0,695,,289.0,1.0,,,,,,,
M3 Max,qwen2.5:14b,non-vision,1,0.9888888888888888,44481.555765000005,44.930864409090916,10.921333413223053,8.023232323232323,0.5620862991123378,990,1.0,979,,8.0,2.0,,,,,,,
OpenAI,gpt-4o-mini,non-vision,1,0.990909090909091,7217.863765,7.2907714797979795,1.5426124954615814,7.954545454545454,0.474799244952674,990,,981,,9.0,,,,,,,,
OpenAI,gpt-4o,non-vision,1,0.9888888888888888,10560.597297,10.667269996969695,9.12350696760125,7.986868686868687,0.2438926252854892,990,11.0,979,,,,,,,,,,
OpenAI,gpt-4.1-nano,non-vision,1,0.804040404040404,9690.335328,9.788217503030303,16.14158215355092,21.07171717171717,24.636978218399285,990,114.0,796,1.0,55.0,24.0,,,,,,,
OpenAI,gpt-4.1-mini,non-vision,1,1.0,6757.617701,6.825876465656566,1.4055792851969555,8.0,0.0,990,,990,,,,,,,,,,
OpenAI,gpt-4.1,non-vision,1,1.0,6346.671063,6.410778851515151,1.324498636989779,8.0,0.0,990,,990,,,,,,,,,,
Anthropic,claude-3-5-sonnet,non-vision,1,0.990909090909091,15928.538016,16.089432339393937,3.5158340275376325,8.0,0.0,990,,981,9.0,,,,,,,,,
Anthropic,claude-3-7-sonnet,non-vision,1,0.998989898989899,15251.088986,15.405140389898987,14.997115670875717,8.070707070707071,0.3803177122289877,990,1.0,989,,,,,,,,,,
