platform,model,type,task_completion_rate,task_success_rate,total_execution_time,mean_execution_time,std_execution_time,mean_process_steps,std_process_steps,total_tasks,DB_UPDATE_TOOL_NOT_INITIALIZED,SUCCESS,DB_UPDATE_TOOL_ARGS_MISMATCH,DB_QUERY_TOOL_NOT_INITIALIZED,DB_QUERY_TOOL_ARGS_MISMATCH,DB_UPDATE_TOOL_ERROR,OCR_TOOL_RESULT_MISMATCH,OCR_TOOL_ARGS_MISMATCH,mean_ocr_bert_f1,std_ocr_bert_f1,OCR_TOOL_NOT_INITIALIZED,OCR_TOOL_ERROR
RTX 4090,qwen2.5:3b,vision,1,0.0838383838383838,9503.314099,9.59930717070707,42.14398063636002,12.66969696969697,7.089845977517783,990,884.0,83,16.0,1.0,4.0,,1.0,1.0,0.9929935365614264,0.034510504481375,,
RTX 4090,qwen2.5:7b,vision,1,0.2505050505050505,9115.188792,9.207261406060606,14.833663700040194,12.93030303030303,19.924635327436626,990,11.0,248,1.0,117.0,7.0,,,,0.3855368864054632,0.4846428974646067,606.0,
RTX 4090,qwen2.5:14b,vision,1,0.9595959595959596,14681.66492,14.829964565656566,15.245935602625726,9.084848484848484,1.9213222000047967,990,16.0,950,1.0,21.0,1.0,,1.0,,0.9939651365834054,0.0139456382666861,,
RTX A6000,qwen2.5:3b,vision,1,0.0717171717171717,6290.660505,6.35420253030303,19.937588404622815,13.01010101010101,8.770060003616644,990,881.0,71,30.0,,7.0,,,1.0,0.9943422419254226,0.0340817193317582,,
RTX A6000,qwen2.5:7b,vision,1,0.4212121212121212,9073.152421,9.164800425252526,11.40831953496788,18.47878787878788,22.14455346753454,990,30.0,417,2.0,151.0,21.0,,,,0.6238978344382662,0.4813044385660968,369.0,
RTX A6000,functionary-small,vision,1,0.0787878787878787,4424.619463,4.469312588888889,8.492694381832678,6.076767676767677,4.194484034543715,990,197.0,78,1.0,573.0,8.0,,,133.0,0.8615817022444022,0.3398052569030513,,
RTX A6000,qwen2.5:14b,vision,1,0.9464646464646465,7753.201347,7.831516512121213,11.004876419086592,9.1010101010101,2.522276683123303,990,15.0,937,,38.0,,,,,0.9953849926139368,0.0126487622262862,,
RTX A6000,qwen2.5:32b,vision,1,1.0,14176.629456,14.319827733333332,23.921563977364023,9.0,0.0,990,,990,,,,,,,0.9953849926139368,0.0126487622262862,,
RTX A6000,functionary-medium,vision,1,0.397979797979798,28624.608385000007,28.91374584343435,195.09250481003824,7.55050505050505,3.1183229573286635,990,310.0,394,4.0,267.0,15.0,,,,0.9953849926139368,0.0126487622262862,,
RTX A6000,qwen2.5:72b,vision,1,0.9595959595959596,32091.613704000003,32.41577141818182,16.0798979766605,9.715151515151517,5.5538245712593675,990,12.0,950,,28.0,,,,,0.9953849926139368,0.0126487622262862,,
M3 Max,qwen2.5:3b,vision,1,0.0949494949494949,55167.287688,55.72453301818182,80.01264822023373,12.896969696969697,7.763405569431575,990,866.0,94,18.0,1.0,9.0,,1.0,1.0,0.9946425690795436,0.03352532355006,,
M3 Max,qwen2.5:7b,vision,1,0.4686868686868687,97824.957799,98.8130886858586,104.27178997325466,19.87070707070707,21.781511127607132,990,36.0,464,,167.0,25.0,1.0,,,0.696769980348722,0.4564699854160822,297.0,
M3 Max,qwen2.5:14b,vision,1,0.9515151515151516,74416.068355,75.1677458131313,16.319574939442294,9.102020202020205,2.144595096752561,990,15.0,942,1.0,31.0,,,1.0,,0.995652830901772,0.0110651413106252,,
OpenAI,gpt-4o-mini,vision,1,0.9949494949494948,7751.623039,7.8299222616161614,1.515201226363238,9.342424242424242,1.2078769874465756,990,2.0,985,,2.0,,,1.0,,0.9485722913886562,0.0076591990708243,,
OpenAI,gpt-4o,vision,1,0.987878787878788,14041.866844,14.183703882828285,16.1344108089445,8.955555555555556,0.4695419152281957,990,2.0,978,,9.0,,,,,0.9159963324214472,0.029307585586767,,1.0
OpenAI,gpt-4.1-nano,vision,1,0.9090909090909092,7298.467977,7.372189875757576,6.134833096357308,15.93030303030303,8.318008951132065,990,20.0,900,9.0,,60.0,,,,0.9501210602244944,0.030589701003709,,1.0
OpenAI,gpt-4.1-mini,vision,1,0.990909090909091,10348.863255,10.453397227272728,2.492843701158943,11.108080808080809,1.427533440057592,990,9.0,981,,,,,,,0.9163703161056596,0.0079185318062678,,
OpenAI,gpt-4.1,vision,1,1.0,10179.889761,10.282716930303028,10.47367321998676,11.875757575757577,13.488553293488604,990,,990,,,,,,,0.9335601955953272,0.0302281686039407,,
Anthropic,claude-3-5-sonnet,vision,1,0.9646464646464646,21028.096147,21.240501158585857,7.395715166051154,8.972727272727273,0.3601252960864189,990,,955,29.0,,1.0,,1.0,,0.9496294133590928,0.0607589219148333,,4.0
Anthropic,claude-3-7-sonnet,vision,1,0.9868686868686868,17961.597423,18.1430277,8.525338514686224,9.024242424242424,0.6800777492414588,990,5.0,977,,1.0,,,4.0,,0.9358156007347684,0.052222915964089,1.0,2.0
