platform,model,type,task_completion_rate,task_success_rate,total_execution_time,mean_execution_time,std_execution_time,mean_process_steps,std_process_steps,total_tasks,DB_UPDATE_TOOL_NOT_INITIALIZED,SUCCESS,DB_UPDATE_TOOL_ARGS_MISMATCH,DB_QUERY_TOOL_NOT_INITIALIZED,DB_QUERY_TOOL_ARGS_MISMATCH,DB_UPDATE_TOOL_ERROR,OCR_TOOL_RESULT_MISMATCH,OCR_TOOL_ARGS_MISMATCH,mean_ocr_bert_f1,std_ocr_bert_f1,OCR_TOOL_NOT_INITIALIZED,OCR_TOOL_ERROR
RTX 4090,qwen2.5:3b,overall,1,0.1313131313131313,21695.334635,10.957239714646464,31.096118658597085,17.242424242424242,12.511735498977757,1980,1643.0,260,36.0,21.0,15.0,3.0,1.0,1.0,,,,
RTX 4090,qwen2.5:7b,overall,1,0.4934343434343434,24863.201408,12.55717242828283,14.711191977937418,16.868181818181817,20.287531367359097,1980,18.0,977,1.0,370.0,8.0,,,,,,606.0,
RTX 4090,qwen2.5:14b,overall,1,0.9737373737373738,24793.655764000003,12.522048365656566,11.297970492739193,8.610606060606061,2.103772841380217,1980,19.0,1928,1.0,29.0,2.0,,1.0,,,,,
RTX A6000,qwen2.5:3b,overall,1,0.1393939393939394,15993.659731,8.077605924747475,19.00694007558878,18.751010101010102,14.731147079567064,1980,1637.0,276,35.0,7.0,24.0,,,1.0,,,,
RTX A6000,qwen2.5:7b,overall,1,0.5727272727272728,19611.06044,9.90457597979798,10.236681208853303,20.687373737373736,21.975266131448123,1980,37.0,1134,3.0,415.0,21.0,1.0,,,,,369.0,
RTX A6000,functionary-small,overall,1,0.0747474747474747,7956.671884,4.018521153535354,21.637443049200527,5.595959595959596,3.656054506044889,1980,305.0,148,3.0,1379.0,12.0,,,133.0,,,,
RTX A6000,qwen2.5:14b,overall,1,0.966161616161616,14455.940966,7.300980285858586,7.959315028771781,8.62020202020202,2.2341906458349277,1980,19.0,1913,1.0,46.0,1.0,,,,,,,
RTX A6000,qwen2.5:32b,overall,1,1.0,27469.971908,13.873723185858584,16.94539628534176,8.5,0.500126310473153,1980,,1980,,,,,,,,,,
RTX A6000,functionary-medium,overall,1,0.5318181818181819,60963.81983200001,30.7898079959596,242.60300442096172,7.806565656565657,2.8397413078545455,1980,441.0,1053,5.0,454.0,27.0,,,,,,,
RTX A6000,qwen2.5:72b,overall,1,0.951010101010101,77727.089742,39.25610593030303,24.81218558757275,8.735858585858585,4.228136345751375,1980,12.0,1883,,85.0,,,,,,,,
M3 Max,qwen2.5:3b,overall,1,0.1489898989898989,90835.161119,45.87634399949495,95.34486803999272,16.436363636363637,11.85773386270998,1980,1629.0,295,27.0,10.0,17.0,,1.0,1.0,,,,
M3 Max,qwen2.5:7b,overall,1,0.5853535353535354,169993.906976,85.85550857373737,95.9141734056466,20.683333333333337,21.287089915468176,1980,41.0,1159,,456.0,26.0,1.0,,,,,297.0,
M3 Max,qwen2.5:14b,overall,1,0.9702020202020202,118897.62412,60.04930511111111,20.52772141510193,8.562626262626262,1.6575480566481935,1980,16.0,1921,1.0,39.0,2.0,,1.0,,,,,
OpenAI,gpt-4o-mini,overall,1,0.9929292929292928,14969.486804,7.560346870707071,1.5521824540803553,8.648484848484848,1.1504652165646914,1980,2.0,1966,,11.0,,,1.0,,,,,
OpenAI,gpt-4o,overall,1,0.9883838383838384,24602.464141,12.42548693989899,13.22062342883162,8.47121212121212,0.6120563550548737,1980,13.0,1957,,9.0,,,,,,,,1.0
OpenAI,gpt-4.1-nano,overall,1,0.8565656565656565,16988.803305,8.58020368939394,12.266952464890002,18.501010101010102,18.561412182892848,1980,134.0,1696,10.0,55.0,84.0,,,,,,,1.0
OpenAI,gpt-4.1-mini,overall,1,0.9954545454545456,17106.480956,8.639636846464645,2.717403402512542,9.554040404040403,1.853287053824777,1980,9.0,1971,,,,,,,,,,
OpenAI,gpt-4.1,overall,1,1.0,16526.560824,8.346747890909091,7.710238321626916,9.937878787878788,9.730459334143244,1980,,1980,,,,,,,,,,
Anthropic,claude-3-5-sonnet,overall,1,0.9777777777777776,36956.634162999995,18.664966748989897,6.336294889330017,8.486363636363636,0.5490732778671908,1980,,1936,38.0,,1.0,,1.0,,,,,4.0
Anthropic,claude-3-7-sonnet,overall,1,0.9929292929292928,33212.686409,16.774084044949497,12.271805209501933,8.547474747474748,0.728589413504014,1980,6.0,1966,,1.0,,,4.0,,,,1.0,2.0
