platform,model,type,task_completion_rate,task_success_rate,total_execution_time,mean_execution_time,std_execution_time,mean_process_steps,std_process_steps,total_tasks,SUCCESS,DB_QUERY_TOOL_NOT_INITIALIZED,DB_UPDATE_TOOL_NOT_INITIALIZED,OCR_TOOL_RESULT_MISMATCH,mean_ocr_bert_f1,std_ocr_bert_f1,OCR_TOOL_ERROR,DB_QUERY_TOOL_ARGS_MISMATCH,DB_UPDATE_TOOL_ARGS_MISMATCH
OpenAI,gpt-4o-mini,overall,1,0.9929292929292929,14969.486804,7.560346870707071,1.5521824540803553,8.648484848484848,1.1504652165646914,1980,1966,11.0,2.0,1.0,,,,,
OpenAI,gpt-4o-mini,vision,1,0.9949494949494949,7751.623039,7.8299222616161614,1.515201226363238,9.342424242424242,1.2078769874465756,990,985,2.0,2.0,1.0,0.9485722913886562,0.007659199070824309,,,
OpenAI,gpt-4o-mini,non-vision,1,0.990909090909091,7217.863765,7.2907714797979795,1.5426124954615814,7.954545454545454,0.474799244952674,990,981,9.0,,,,,,,
OpenAI,gpt-4o,overall,1,0.9883838383838384,24602.464141,12.42548693989899,13.220623428831619,8.47121212121212,0.6120563550548737,1980,1957,9.0,13.0,,,,1.0,,
OpenAI,gpt-4o,vision,1,0.9878787878787879,14041.866844,14.183703882828283,16.1344108089445,8.955555555555556,0.4695419152281957,990,978,9.0,2.0,,0.9159963324214473,0.029307585586767028,1.0,,
OpenAI,gpt-4o,non-vision,1,0.9888888888888889,10560.597297,10.667269996969697,9.12350696760125,7.986868686868687,0.2438926252854892,990,979,,11.0,,,,,,
OpenAI,gpt-4.1-nano,overall,1,0.8565656565656565,16988.803305,8.58020368939394,12.266952464890002,18.501010101010102,18.561412182892848,1980,1696,55.0,134.0,,,,1.0,84.0,10.0
OpenAI,gpt-4.1-nano,vision,1,0.9090909090909091,7298.467977,7.372189875757576,6.134833096357308,15.93030303030303,8.318008951132065,990,900,,20.0,,0.9501210602244945,0.030589701003709047,1.0,60.0,9.0
OpenAI,gpt-4.1-nano,non-vision,1,0.804040404040404,9690.335328000001,9.788217503030305,16.14158215355092,21.07171717171717,24.636978218399285,990,796,55.0,114.0,,,,,24.0,1.0
OpenAI,gpt-4.1-mini,overall,1,0.9954545454545455,17106.480956,8.639636846464645,2.717403402512542,9.554040404040403,1.853287053824777,1980,1971,,9.0,,,,,,
OpenAI,gpt-4.1-mini,vision,1,0.990909090909091,10348.863255,10.453397227272728,2.492843701158943,11.108080808080809,1.427533440057592,990,981,,9.0,,0.9163703161056596,0.007918531806267873,,,
OpenAI,gpt-4.1-mini,non-vision,1,1.0,6757.617701,6.825876465656566,1.4055792851969557,8.0,0.0,990,990,,,,,,,,
OpenAI,gpt-4.1,overall,1,1.0,16526.560824,8.346747890909091,7.710238321626916,9.937878787878788,9.730459334143244,1980,1980,,,,,,,,
OpenAI,gpt-4.1,vision,1,1.0,10179.889760999999,10.282716930303028,10.47367321998676,11.875757575757575,13.488553293488604,990,990,,,,0.9335601955953271,0.030228168603940758,,,
OpenAI,gpt-4.1,non-vision,1,1.0,6346.671063,6.410778851515151,1.324498636989779,8.0,0.0,990,990,,,,,,,,
OpenAI,o4-mini,overall,1,0.9611111111111111,63885.173560999996,32.26523917222222,24.42367295275529,9.019191919191918,5.275304555582927,1980,1903,,77.0,,,,,,
OpenAI,o4-mini,vision,1,0.9868686868686869,34443.531549,34.79144600909091,20.111182752874623,9.137373737373737,1.2230170272136738,990,977,,13.0,,0.9440085609753927,0.015586399923456472,,,
OpenAI,o4-mini,non-vision,1,0.9353535353535354,29441.642012,29.739032335353535,27.86393246430999,8.901010101010101,7.35948924115639,990,926,,64.0,,,,,,
